	Fragebogen-Nr. Maurer	Fragebogen-Nr. DWA	Ort	Longitude	Latitude	Item Maurer	Item DWA	Levenshtein Item Min	z_score_item	Phontype Maurer	Phontype DWA	Levenshtein Phontype Min	z_score_phontype	Lextype Maurer	Lextype DWA	Levenshtein Lextype Min	z_score_lextype
35	Hag G 3	III_5_0058	Reipertsweiler (Reipertswiller)	7.46373	48.93214	grumbeer	krumbeer	1	-0.25251144499813616	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
36	Hag H 1	III_5_0062	Oberbronn	7.6082	48.94109	grumbeer	grumbeer	0	-0.7815579410052661	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
37	Hag H 2/1, Hag H 2/2, Hag H 2/3	III_5_0066, III_5_0067	Bad-Niederbronn (Niederbronn-Les-Bains), Niederbronn (GID von Niederbronn les bains), Bad-Niederbronn (Niederbronn-Les-Bains)	7.64282	48.95108	grumbǟre, grumbeere, krummbea	krummbere, grumbeer	1	-0.25251144499813616	grumbere, grumbere, grumbere	grumbere, grumbere	0	-0.5955950302609602	Grundbirne, Grundbirne, Grundbirne	Grundbirne, Grundbirne	0	-0.48323353219796433
38	Hag H 3	III_5_0064, III_5_0065	Reichshofen (Reichshoffen)	7.66338	48.93223	grumbeera	krumbeer, grumbäre	2	0.27653505100899384	grumbere	grumbere, grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne, Grundbirne	0	-0.48323353219796433
39	Hag J 1	III_5_0082	Lembach-Pfaffenbronn (Pfaffenbronn) 	7.83111	48.99355	grumbäre	krummbeer	5	1.8636745390303837	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
40	Hag J 2	III_5_0071	Mattstall	7.7613	48.98757	grumbäre	grumbära, ardäpfl	1	-0.25251144499813616	grumbere	grumbere, ardäpfel	0	-0.5955950302609602	Grundbirne	Grundbirne, Erdäpfel	0	-0.48323353219796433
41	Hag J 3	III_5_0078	Lampertsloch	7.81713	48.95698	krumber	grumbiere	3	0.8055815470161238	grumbere	grumbire	1	-0.06528309456870167	Grundbirne	Grundbirne	0	-0.48323353219796433
42	Hag J 4	III_5_0077	Mitschdorf, Mitschdorf	7.78435	48.9524	krumber, grumber	grumber	0	-0.7815579410052661	grumbere, grumbere	grumbere	0	-0.5955950302609602	Grundbirne, Grundbirne	Grundbirne	0	-0.48323353219796433
43	Hag J 5	III_5_0076	Görsdorf (Goersdorf)	7.76782	48.95111	gruͥmbear	grumbeer	2	0.27653505100899384	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
44	Hag J 6	III_5_0085	Preuschdorf	7.80425	48.9435	grumbeer	grümbiere	3	0.8055815470161238	grumbere	grümbire	2	0.4650288411235568	Grundbirne	Grundbirne	0	-0.48323353219796433
45	Hag J 7	III_5_0081	Merkweiler (Merkwiller-Pechelbronn)	7.82707	48.93886	grumbeer	grumbeer	0	-0.7815579410052661	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
46	Hag J 8	III_5_0079	Diefenbach (Dieffenbach-Lès-Woerth)	7.77425	48.93532	grumbier	grummbeere	3	0.8055815470161238	grumbire	grumbere	1	-0.06528309456870167	Grundbirne	Grundbirne	0	-0.48323353219796433
47	Hag J 9	III_5_0084	Oberdorf-Spachbach	7.75696	48.92512	grumbier	grummbeere	3	0.8055815470161238	grumbire	grumbere	1	-0.06528309456870167	Grundbirne	Grundbirne	0	-0.48323353219796433
48	Hag J 10	III_5_0075	Wört (Woerth)	7.74374	48.93677	grumbeer	grummbeer	1	-0.25251144499813616	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
49	Hag J 11	III_5_0074	Fröschweiler (Frœschwiller)	7.72171	48.94318	grummbi͜͞arä̆	grommbeare	6	2.3927210350375137	grumbire	grombere	2	0.4650288411235568	Grundbirne	Grundbirne	0	-0.48323353219796433
50	Hag J 12	III_5_0073	Nehweiler (Nehwiller)	7.70322	48.96072	grumbere	grumbeer	2	0.27653505100899384	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
51	Hag J 13	III_5_0072	Langensulzbach (Langensoultzbach)	7.73367	48.96812	grombiͤr	grumbeere	4	1.3346280430232536	grombire	grumbere	2	0.4650288411235568	Grundbirne	Grundbirne	0	-0.48323353219796433
52	Hag K 1	III_5_0088	Riedselz (Riedseltz)	7.95195	48.99281	grumbere	krumbeere, grundbeere	2	0.27653505100899384	grumbere	grumbere, grundbere	0	-0.5955950302609602	Grundbirne	Grundbirne, Grundbirne	0	-0.48323353219796433
53	Hag K 2	III_5_0087	Bremmelbach	7.90023	48.986	grumbärä	grumbeere	3	0.8055815470161238	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
54	Hag K 3	III_5_0092	Ingolsheim	7.93636	48.97357	krumbeer	krumbeer	0	-0.7815579410052661	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
55	Hag K 4	III_5_0098	Oberseebach	7.98947	48.9672	krummbeere	grumbeere	2	0.27653505100899384	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
56	Hag K 5	III_5_0097	Hunspach	7.94316	48.9536	grumbeere	grümbeer	2	0.27653505100899384	grumbere	grümbere	1	-0.06528309456870167	Grundbirne	Grundbirne	0	-0.48323353219796433
57	Hag K 6	III_5_0106	Aschbach	7.98262	48.93423	grumbeeren	grumbiere	2	0.27653505100899384	grumbere	grumbire	1	-0.06528309456870167	Grundbirne	Grundbirne	0	-0.48323353219796433
58	Hag K 7	III_5_0105	Stundweiler (Stundwiller)	7.99256	48.92477	grumbere	grumbeer	2	0.27653505100899384	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
59	Hag K 9	III_5_0103	Leitersweiler (Leiterswiller)	7.94768	48.92407	krummbeere	krummbeere	0	-0.7815579410052661	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
60	Hag K 10	III_5_0109	Hofen (Hoffen)	7.9412	48.92766	grumbeere	grumbeere	0	-0.7815579410052661	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
61	Hag K 11 R 1, Hag R 1	III_5_0102	Kühlendorf (Kuhlendorf) und Hohweiler, Kühlendorf (Kuhlendorf)	7.92307	48.91408	grumbeere, grumbeer	grumbär	2	0.27653505100899384	grumbere, grumbere	grumbere	0	-0.5955950302609602	Grundbirne, Grundbirne	Grundbirne	0	-0.48323353219796433
62	Hag K 12	III_5_0100	Hermersweiler (Hermerswiller)	7.91205	48.93588	krumbeere	krumbeer	1	-0.25251144499813616	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
63	Hag K 13	III_5_0096	Schönenburg (Schoenenbourg)	7.91332	48.95207	grumbir	grummbir	1	-0.25251144499813616	grumbire	grumbire	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
64	Hag K 14	III_5_0099	Sulz u. (f) (Soultz-Sous-Forêts)	7.88268	48.93782	grumbär	grmbäre	2	0.27653505100899384	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
65	Hag K 15	III_5_0107	Kutzenhausen	7.85624	48.93375	grumbär	grumbär	0	-0.7815579410052661	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
66	Hag K 16	III_5_0095	Retschweiler (Retschwiller)	7.87838	48.95025	grumbär	grummber	2	0.27653505100899384	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
67	Hag K 17	III_5_0093, III_5_0094	Memmelshofen (Memmelshoffen)	7.87106	48.96013	grumbär	grumbäre, grumbäre	1	-0.25251144499813616	grumbere	grumbere, grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne, Grundbirne	0	-0.48323353219796433
68	Hag K 18	III_5_0091	Keffenach	7.88225	48.96489	grumbeere	grumbär	3	0.8055815470161238	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
69	Hag K 19	III_5_0089	Birlenbach	7.8829	48.9763	grumbär	grumbär	0	-0.7815579410052661	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
70	Hag K 20	III_5_0086	Drachenbronn	7.87037	48.98626	grumbäre	grumbäre	0	-0.7815579410052661	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
71	Hag K 21	III_5_0090	Lobsann	7.84681	48.96327	grumbire	grummbere	2	0.27653505100899384	grumbire	grumbere	1	-0.06528309456870167	Grundbirne	Grundbirne	0	-0.48323353219796433
72	Hag K 22	III_5_0108	Oberkutzenhausen	7.84049	48.93847	grumbäre	grumbeerä	3	0.8055815470161238	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
73	Hag M 1	III_5_0034	Zollingen	7.07636	48.91048	grůmbeer	grummberre	4	1.3346280430232536	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
74	Hag M 2	III_6_0002	Pisdorf (Bischtroff-sur-Sarre)	7.06995	48.9005	grumbier	krummbire	4	1.3346280430232536	grumbire	grumbire	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
75	Hag M 3	III_6_0004	Burbach	7.11226	48.90144	grumbeer	grummbeer	1	-0.25251144499813616	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
76	Hag M 4	na	Tal bei Drulingen (Thal-Drulingen)	7.1452	48.90983	grumbeer	na	999	527.7358915701176	grumbere	na	999	529.1860287263053	Grundbirne	na	999	529.091394870162
77	Hag M 5	III_6_0008	Berg	7.1532	48.89487	grumbir	groummbeer	4	1.3346280430232536	grumbire	grumbere	1	-0.06528309456870167	Grundbirne	Grundbirne	0	-0.48323353219796433
78	Hag M 6	III_6_0009	Güngweiler (Gungwiller)	7.15771	48.88171	grumbär	grůmbeer	3	0.8055815470161238	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
79	Hag M 7	III_6_0016	Eyweiler (Eywiller)	7.13172	48.8709	grummbeer	grumbeere	2	0.27653505100899384	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
80	Hag M 8	III_6_0007	Eschweiler (Eschwiller)	7.11652	48.8596	grumbiere	grummbiere	1	-0.25251144499813616	grumbire	grumbire	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
81	Hag M 9	III_6_0010	Weyer	7.15976	48.85488	grummbire	grumbire	1	-0.25251144499813616	grumbire	grumbire	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
82	Hag M 10	III_6_0012	Bärendorf (Baerendorf)	7.08463	48.83742	krummbir	krumbier	2	0.27653505100899384	grumbire	grumbire	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
83	Hag M 11/1, Hag M 11/2	III_6_0003	Wolfskirchen, Wolfskirchen	7.07612	48.87884	grumbeer, krummbeer	grumbeer	0	-0.7815579410052661	grumbere, grumbere	grumbere	0	-0.5955950302609602	Grundbirne, Grundbirne	Grundbirne	0	-0.48323353219796433
84	Hag M 12	III_6_0005	Diedendorf	7.04974	48.87869	grumbeere	grumbeer	1	-0.25251144499813616	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
85	Hag N 1	III_5_0049	Puberg	7.31461	48.91322	grumbeer	grummbeer	1	-0.25251144499813616	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
86	Hag N 2	III_6_0021	Hinsburg (Hinsbourg)	7.28852	48.90706	grumbier	grumbeer	1	-0.25251144499813616	grumbire	grumbere	1	-0.06528309456870167	Grundbirne	Grundbirne	0	-0.48323353219796433
87	Hag N 3	III_6_0020	Frohmühl (Frohmuhl)	7.28007	48.90754	krumbiere	grumbeer	3	0.8055815470161238	grumbire	grumbere	1	-0.06528309456870167	Grundbirne	Grundbirne	0	-0.48323353219796433
88	Hag N 4	III_5_0048	Weislingen	7.25159	48.91879	grumbeere	grumbeer	1	-0.25251144499813616	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
89	Hag N 5	III_6_0019	Tieffenbach	7.24987	48.90483	grumbeer	grumbeere	1	-0.25251144499813616	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
90	Hag N 6	III_6_0022	Strut (Struth)	7.25475	48.89009	grumbire	krombēr	4	1.3346280430232536	grumbire	grombere	2	0.4650288411235568	Grundbirne	Grundbirne	0	-0.48323353219796433
91	Hag N 7	III_6_0035	Petersbach	7.26874	48.86912	grumbere	grummbier	3	0.8055815470161238	grumbere	grumbire	1	-0.06528309456870167	Grundbirne	Grundbirne	0	-0.48323353219796433
92	Hag N 8	III_6_0032	Lützelstein (La Petite-Pierre)	7.32076	48.85864	grumbiere	grummbier	2	0.27653505100899384	grumbire	grumbire	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
93	Hag N 9	III_6_0018	Adamsweiler (Adamswiller)	7.20348	48.90463	grumbēre	krumbeere	3	0.8055815470161238	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
94	Hag N 10	III_6_0024	Dürstel (Durstel)	7.19745	48.89156	grumbeere	krumbere	2	0.27653505100899384	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
95	Hag N 11	III_6_0025	Bettweiler (Bettwiller)	7.17993	48.88617	grumberĕ	grumbiere	2	0.27653505100899384	grumbere	grumbire	1	-0.06528309456870167	Grundbirne	Grundbirne	0	-0.48323353219796433
96	Hag N 12	III_6_0023	Aßweiler (Asswiller)	7.2198	48.88035	grumbirr	grumbier	1	-0.25251144499813616	grumbire	grumbire	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
97	Hag N 13	III_6_0026	Drulingen	7.18979	48.8662	grombeer	grombeere	1	-0.25251144499813616	grombere	grombere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
98	Hag N 14	III_6_0029, III_6_0030	Ottweiler (Ottwiller)	7.23096	48.86516	grumbeer	grumbeer, grumbeer	0	-0.7815579410052661	grumbere	grumbere, grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne, Grundbirne	0	-0.48323353219796433
99	Hag N 15	III_6_0031	Lohr	7.24351	48.85748	grumbeer	grumbeere	1	-0.25251144499813616	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
100	Hag N 16	III_6_0028	Sieweiler (Siewiller)	7.20676	48.84318	krummbirä	krummbiere	2	0.27653505100899384	grumbire	grumbire	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
101	Hag N 17	III_6_0017	Berg, Rexingen	7.17654	48.90012	grumbeer	grumbir	2	0.27653505100899384	grumbere	grumbire	1	-0.06528309456870167	Grundbirne	Grundbirne	0	-0.48323353219796433
102	Hag O 1	III_5_0059	Lichtenberg	7.48181	48.9216	grumbiar	grummbir	2	0.27653505100899384	grumbire	grumbire	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
103	Hag O 2	III_6_0038	Wimmenau	7.41957	48.91035	grumbiere	grumbier	1	-0.25251144499813616	grumbire	grumbire	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
104	Hag O 3	III_6_0036	Zittersheim	7.34551	48.89955	grummbeere	grumbier	3	0.8055815470161238	grumbere	grumbire	1	-0.06528309456870167	Grundbirne	Grundbirne	0	-0.48323353219796433
105	Hag O 4	III_6_0037	Erkartsweiler (Erckartswiller)	7.3596	48.87532	krumbere	grūmbeere	3	0.8055815470161238	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
106	Hag O 5	III_6_0039	Sparsbach	7.41533	48.87754	grumbēre	grumbeere	2	0.27653505100899384	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
107	Hag O 6	III_6_0046, III_6_0047	Weinburg (Weinbourg)	7.44029	48.87157	grůmmbeer	grumbeer, grumbier	2	0.27653505100899384	grumbere	grumbere, grumbire	0	-0.5955950302609602	Grundbirne	Grundbirne, Grundbirne	0	-0.48323353219796433
108	Hag O 7	III_6_0045	Ingweiler (Ingwiller)	7.48031	48.87322	grumber	grumbiere	2	0.27653505100899384	grumbere	grumbire	1	-0.06528309456870167	Grundbirne	Grundbirne	0	-0.48323353219796433
109	Hag O 8	III_6_0044	Menchhofen (Menchhoffen)	7.49498	48.85955	grumbäre	krumbeer	4	1.3346280430232536	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
110	Hag O 9	III_6_0043	Uttweiler (Uttwiller)	7.48667	48.84591	grumbeer	grumbeer	0	-0.7815579410052661	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
111	Hag O 10	III_6_0042	Niedersulzbach (Niedersoultzbach)	7.4662	48.84923	grumbär	grumbär	0	-0.7815579410052661	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
112	Hag O 11	III_6_0041	Obersulzbach (Obersoultzbach)	7.45013	48.85174	grůmbeer	grŭmbeer	1	-0.25251144499813616	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
113	Hag O 12	III_6_0040	Weitersweiler (Weiterswiller), Weitersweiler (Weiterswiller)	7.41341	48.85298	grumbeere, grumbeer	grombeer	1	-0.25251144499813616	grumbere, grumbere	grombere	1	-0.06528309456870167	Grundbirne, Grundbirne	Grundbirne	0	-0.48323353219796433
114	Hag P 1	III_5_0068	Zinsweiler	7.59018	48.9196	grombeer	grombeer	0	-0.7815579410052661	grombere	grombere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
115	Hag P 2	III_6_0059	Offweiler	7.54296	48.91021	grumbēr	grumbäre	2	0.27653505100899384	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
116	Hag P 3	III_6_0048	Rotbach	7.52883	48.90568	grumbier	grumbier	0	-0.7815579410052661	grumbire	grumbire	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
117	Hag P 4	III_6_0049	Bischholz	7.53995	48.89301	grumbeer	krumbeer	1	-0.25251144499813616	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
118	Hag P 5	III_6_0053	Mühlhausen	7.5527	48.88226	grumbeer	grumbeer	0	-0.7815579410052661	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
119	Hag P 6	III_6_0054	Uhrweiler (Uhrwiller)	7.57892	48.8784	grumbīr	grumbir	1	-0.25251144499813616	grumbire	grumbire	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
120	Hag P 7	III_6_0055	Engweiler	7.61501	48.88508	grumbēr	grumbeer	2	0.27653505100899384	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
121	Hag P 8	III_6_0050	Gumbrechtshofen	7.6319	48.90544	grůmbear	grummbäre	5	1.8636745390303837	grumbere	grumbere	0	-0.5955950302609602	Grundbirne	Grundbirne	0	-0.48323353219796433
